age,job,marital,education,default,housing,loan,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,pred_subs,euribor3m,nr.employed
38,self-employed,single,university.degree,no,no,no,Campaign-2,999-Days,0,nonexistent,1.1,93.994,-36.4,no,4.855,5191
33,unemployed,married,basic.9y,no,no,no,Campaign-6,999-Days,0,nonexistent,1.4,94.465,-41.8,no,4.959,5228.1
32,technician,single,university.degree,no,no,no,Campaign-12,999-Days,0,nonexistent,1.4,93.444,-36.1,no,4.966,5228.1
54,technician,married,professional.course,unknown,yes,no,Campaign-1,999-Days,0,nonexistent,-1.8,93.075,-47.1,no,1.405,5099.1
41,admin.,divorced,high.school,no,yes,no,Campaign-2,999-Days,0,nonexistent,1.4,94.465,-41.8,no,4.961,5228.1
59,services,married,basic.4y,unknown,no,no,Campaign-7,999-Days,0,nonexistent,1.4,93.444,-36.1,no,4.963,5228.1
57,retired,married,university.degree,no,yes,no,Campaign-1,2-Days,1,success,-1.8,93.075,-47.1,no,1.365,5099.1
38,entrepreneur,divorced,university.degree,no,yes,no,Campaign-1,999-Days,0,nonexistent,-0.1,93.2,-42,no,4.076,5195.8
46,admin.,married,university.degree,no,yes,no,Campaign-1,999-Days,0,nonexistent,1.1,93.994,-36.4,no,4.857,5191
37,unemployed,single,university.degree,no,yes,yes,Campaign-1,999-Days,0,nonexistent,-0.1,93.2,-42,no,4.153,5195.8
47,services,single,basic.9y,no,unknown,unknown,Campaign-3,999-Days,0,nonexistent,1.4,94.465,-41.8,yes,4.961,5228.1
45,admin.,single,university.degree,no,no,no,Campaign-1,999-Days,0,nonexistent,1.4,93.444,-36.1,yes,4.964,5228.1
36,blue-collar,married,basic.6y,no,yes,no,Campaign-1,999-Days,0,nonexistent,1.4,93.918,-42.7,no,4.962,5228.1
40,unemployed,single,high.school,no,yes,no,Campaign-5,999-Days,0,nonexistent,1.4,93.918,-42.7,no,4.96,5228.1
38,blue-collar,married,basic.9y,no,no,no,Campaign-2,999-Days,1,failure,-0.1,93.2,-42,no,4.153,5195.8
44,blue-collar,married,high.school,unknown,no,no,Campaign-2,999-Days,0,nonexistent,1.4,94.465,-41.8,no,4.961,5228.1
25,self-employed,married,university.degree,no,yes,no,Campaign-2,999-Days,0,nonexistent,1.1,93.994,-36.4,no,4.857,5191
30,blue-collar,single,basic.6y,no,yes,no,Campaign-5,999-Days,0,nonexistent,1.4,93.918,-42.7,no,4.961,5228.1
43,management,married,professional.course,no,no,no,Campaign-2,999-Days,0,nonexistent,-0.1,93.2,-42,no,4.153,5195.8
58,retired,married,basic.6y,unknown,no,no,Campaign-3,999-Days,0,nonexistent,1.1,93.994,-36.4,no,4.857,5191
31,technician,married,professional.course,no,yes,no,Campaign-6,999-Days,0,nonexistent,1.1,93.994,-36.4,no,4.856,5191
53,management,married,university.degree,no,no,no,Campaign-2,999-Days,0,nonexistent,1.4,93.918,-42.7,no,4.961,5228.1
52,admin.,married,unknown,no,no,no,Campaign-1,999-Days,0,nonexistent,1.4,93.444,-36.1,no,4.968,5228.1
37,management,married,university.degree,unknown,no,yes,Campaign-1,999-Days,1,failure,-1.8,93.075,-47.1,no,1.405,5099.1
58,admin.,married,high.school,unknown,yes,no,Campaign-1,999-Days,0,nonexistent,1.4,93.918,-42.7,no,4.961,5228.1
37,services,married,high.school,no,yes,yes,Campaign-3,999-Days,0,nonexistent,-1.8,92.893,-46.2,no,1.266,5099.1
38,admin.,single,unknown,no,yes,no,Campaign-1,999-Days,0,nonexistent,-1.8,92.893,-46.2,no,1.313,5099.1
33,services,single,basic.9y,no,yes,no,Campaign-2,999-Days,0,nonexistent,-1.8,93.075,-47.1,no,1.41,5099.1
45,services,married,high.school,unknown,yes,no,Campaign-1,999-Days,0,nonexistent,-1.8,92.893,-46.2,no,1.25,5099.1
44,entrepreneur,married,professional.course,no,no,no,Campaign-1,999-Days,0,nonexistent,1.1,93.994,-36.4,no,4.858,5191
38,blue-collar,married,basic.6y,no,yes,no,Campaign-2,999-Days,0,nonexistent,1.4,93.918,-42.7,no,4.966,5228.1
34,blue-collar,married,basic.9y,no,no,no,Campaign-1,999-Days,0,nonexistent,-1.7,94.055,-39.8,no,0.702,4991.6
47,management,married,university.degree,no,yes,no,Campaign-1,999-Days,0,nonexistent,-2.9,92.469,-33.6,no,1.029,5076.2
59,admin.,married,university.degree,no,yes,yes,Campaign-1,999-Days,0,nonexistent,-2.9,92.469,-33.6,no,1.085,5076.2
51,blue-collar,married,basic.4y,unknown,yes,yes,Campaign-2,999-Days,0,nonexistent,1.4,93.444,-36.1,no,4.964,5228.1
31,blue-collar,married,basic.6y,no,yes,no,Campaign-2,999-Days,0,nonexistent,1.4,94.465,-41.8,no,4.864,5228.1
56,management,married,university.degree,no,yes,yes,Campaign-1,999-Days,1,failure,-0.1,93.2,-42,no,4.12,5195.8
39,admin.,married,university.degree,no,no,no,Campaign-2,999-Days,0,nonexistent,1.4,94.465,-41.8,no,4.961,5228.1
41,entrepreneur,married,university.degree,no,yes,no,Campaign-1,999-Days,0,nonexistent,-0.1,93.2,-42,yes,4.153,5195.8
41,management,divorced,basic.6y,no,yes,no,Campaign-1,@-Days,0,nonexistent,-0.1,93.2,-42,no,4.076,5195.8
53,services,married,high.school,unknown,no,no,Campaign-4,999-Days,0,nonexistent,1.1,93.994,-36.4,no,4.86,5191
35,blue-collar,married,high.school,no,no,yes,Campaign-4,999-Days,0,nonexistent,1.4,93.918,-42.7,no,4.962,5228.1
58,retired,married,basic.9y,no,no,yes,Campaign-1,999-Days,0,nonexistent,-1.8,92.893,-46.2,no,1.334,5099.1
25,self-employed,married,professional.course,no,yes,no,Campaign-2,999-Days,0,nonexistent,1.4,94.465,-41.8,no,4.959,5228.1
35,blue-collar,divorced,basic.9y,no,yes,no,Campaign-1,999-Days,1,failure,-1.8,92.893,-46.2,no,1.344,5099.1
28,services,single,high.school,no,no,no,Campaign-1,999-Days,0,nonexistent,1.4,93.918,-42.7,no,4.963,5228.1
55,blue-collar,married,professional.course,no,yes,yes,Campaign-3,999-Days,1,failure,-1.8,92.893,-46.2,no,1.25,5099.1
54,entrepreneur,married,basic.4y,unknown,no,yes,Campaign-1,999-Days,0,nonexistent,1.1,93.994,-36.4,no,4.855,5191
45,technician,divorced,basic.9y,unknown,no,no,Campaign-2,999-Days,0,nonexistent,1.4,93.918,-42.7,no,4.962,5228.1
32,blue-collar,married,basic.9y,no,yes,no,Campaign-1,999-Days,1,failure,-1.8,93.075,-47.1,no,1.41,5099.1
50,admin.,married,basic.9y,unknown,yes,no,Campaign-3,999-Days,0,nonexistent,1.4,93.444,-36.1,no,4.963,5228.1
75,retired,married,basic.4y,no,no,no,Campaign-1,999-Days,1,failure,-1.8,93.075,-47.1,yes,1.405,5099.1
33,self-employed,divorced,unknown,no,no,no,Campaign-4,999-Days,0,nonexistent,1.1,93.994,-36.4,no,4.858,5191
29,management,married,university.degree,no,no,yes,Campaign-2,999-Days,0,nonexistent,1.4,93.444,-36.1,no,4.967,5228.1
45,management,married,university.degree,no,yes,no,Campaign-1,999-Days,0,nonexistent,-1.8,92.893,-46.2,no,1.327,5099.1
38,admin.,divorced,university.degree,no,no,no,Campaign-1,999-Days,0,nonexistent,-1.8,93.075,-47.1,yes,1.392,5099.1
24,services,single,professional.course,no,yes,no,Campaign-1,999-Days,0,nonexistent,1.1,93.994,-36.4,no,4.858,5191
41,technician,married,professional.course,no,yes,no,Campaign-1,999-Days,0,nonexistent,1.4,93.444,-36.1,no,4.963,5228.1
58,retired,divorced,high.school,no,yes,no,Campaign-1,999-Days,0,nonexistent,-2.9,92.963,-40.8,yes,1.262,5076.2
34,admin.,married,university.degree,no,no,yes,Campaign-2,999-Days,0,nonexistent,1.1,93.994,-36.4,no,4.857,5191
34,admin.,married,university.degree,no,no,no,Campaign-2,999-Days,0,nonexistent,-1.1,94.767,-50.8,no,1.05,4963.6
37,technician,divorced,professional.course,no,no,no,Campaign-1,999-Days,0,nonexistent,1.1,93.994,-36.4,no,4.856,5191
53,blue-collar,divorced,basic.4y,no,no,no,Campaign-1,999-Days,0,nonexistent,1.4,94.465,-41.8,yes,4.959,5228.1
54,technician,divorced,professional.course,no,yes,yes,Campaign-14,999-Days,0,nonexistent,1.4,93.918,-42.7,no,4.961,5228.1
32,technician,divorced,professional.course,no,yes,no,Campaign-1,999-Days,0,nonexistent,-0.1,93.2,-42,,4.153,5195.8
42,admin.,married,high.school,no,yes,no,Campaign-6,999-Days,0,nonexistent,1.4,93.918,-42.7,no,4.962,5228.1
28,technician,single,professional.course,no,yes,no,Campaign-2,3-Days,1,success,-2.9,92.201,-31.4,yes,0.851,5076.2
33,services,single,high.school,no,yes,no,Campaign-1,999-Days,0,nonexistent,1.1,93.994,-36.4,no,4.864,5191
41,blue-collar,married,basic.9y,no,yes,no,Campaign-2,999-Days,0,nonexistent,-1.8,93.075,-47.1,no,1.405,5099.1
31,services,married,high.school,no,no,yes,Campaign-1,999-Days,0,nonexistent,-0.1,93.2,-42,no,4.076,5195.8
40,technician,married,basic.9y,unknown,no,yes,Campaign-4,999-Days,0,&&,1.1,93.994,-36.4,no,4.86,5191
53,unknown,married,basic.9y,no,no,yes,Campaign-1,999-Days,1,failure,-3.4,92.649,-30.1,no,0.716,5017.5
40,admin.,divorced,university.degree,no,yes,no,Campaign-1,999-Days,0,nonexistent,1.4,93.444,-36.1,no,4.965,5228.1
82,housemaid,married,basic.4y,no,no,no,Campaign-3,3-Days,2,success,-1.1,94.199,-37.5,yes,0.877,4963.6
28,blue-collar,married,basic.4y,no,yes,no,Campaign-1,999-Days,0,nonexistent,1.4,93.918,-42.7,no,4.96,5228.1
30,admin.,married,high.school,unknown,yes,no,Campaign-3,999-Days,0,nonexistent,-0.1,93.2,-42,no,4.12,5195.8
31,unemployed,single,university.degree,no,yes,no,Campaign-1,6-Days,3,success,-1.7,94.215,-40.3,yes,0.835,4991.6
32,technician,single,university.degree,no,yes,no,Campaign-1,999-Days,0,nonexistent,1.4,93.444,-36.1,no,4.965,5228.1
54,blue-collar,married,basic.4y,no,yes,no,Campaign-1,999-Days,0,nonexistent,1.4,93.444,-36.1,no,4.963,5228.1
31,blue-collar,married,basic.9y,no,no,no,Campaign-1,999-Days,0,nonexistent,1.4,93.918,-42.7,no,4.963,5228.1
50,services,married,unknown,no,yes,no,Campaign-2,999-Days,0,nonexistent,1.4,93.444,-36.1,no,4.968,5228.1
47,technician,single,unknown,no,no,no,Campaign-2,999-Days,0,nonexistent,1.4,93.918,-42.7,no,4.961,5228.1
31,admin.,single,high.school,no,yes,yes,Campaign-1,999-Days,0,nonexistent,-1.8,92.893,-46.2,no,1.281,5099.1
32,unemployed,married,high.school,no,yes,no,Campaign-1,999-Days,0,nonexistent,-0.1,93.2,-42,no,4.076,5195.8
46,admin.,single,high.school,no,yes,no,Campaign-2,999-Days,2,failure,-1.1,94.767,-50.8,no,1.048,4963.6
47,admin.,single,high.school,no,no,no,Campaign-2,999-Days,0,nonexistent,-1.8,92.893,-46.2,no,1.299,5099.1
32,admin.,single,high.school,no,no,no,Campaign-2,999-Days,2,failure,-1.1,94.767,-50.8,no,1.048,4963.6
52,services,divorced,high.school,unknown,no,no,Campaign-1,999-Days,0,nonexistent,-0.1,93.2,-42,no,4.191,5195.8
45,admin.,married,high.school,no,yes,no,Campaign-3,6-Days,1,success,-1.1,94.601,-49.5,yes,1.029,4963.6
32,admin.,married,university.degree,no,yes,no,Campaign-2,999-Days,0,nonexistent,-1.8,92.893,-46.2,no,1.313,5099.1
71,blue-collar,divorced,basic.4y,unknown,no,no,Campaign-1,999-Days,0,nonexistent,-1.7,94.027,-38.3,no,0.904,4991.6
49,services,married,high.school,no,yes,no,Campaign-2,999-Days,0,nonexistent,1.1,93.994,-36.4,no,4.855,5191
46,admin.,married,high.school,no,yes,yes,Campaign-10,999-Days,0,nonexistent,1.4,94.465,-41.8,no,4.864,5228.1
46,blue-collar,married,professional.course,no,no,no,Campaign-1,999-Days,0,nonexistent,-1.1,94.767,-50.8,no,1.028,4963.6
38,admin.,married,university.degree,no,yes,no,Campaign-6,999-Days,0,nonexistent,1.4,93.444,-36.1,no,4.965,5228.1
57,services,married,professional.course,unknown,no,no,Campaign-2,999-Days,0,nonexistent,1.4,93.444,-36.1,no,4.965,5228.1
41,services,single,high.school,unknown,unknown,$%,Campaign-2,999-Days,1,failure,-1.8,92.893,-46.2,no,1.299,5099.1
44,technician,married,professional.course,no,no,no,Campaign-3,999-Days,0,nonexistent,1.1,93.994,-36.4,no,4.864,5191
47,technician,married,university.degree,no,yes,no,Campaign-7,999-Days,0,nonexistent,1.4,93.444,-36.1,no,4.964,5228.1
40,blue-collar,married,basic.9y,no,yes,yes,Campaign-2,999-Days,0,nonexistent,1.1,93.994,-36.4,no,4.858,5191
57,retired,single,professional.course,no,yes,no,Campaign-1,999-Days,0,nonexistent,1.1,93.994,-36.4,no,4.857,5191
27,admin.,single,unknown,no,no,no,Campaign-1,3-Days,1,success,-1.8,93.369,-34.8,yes,0.637,5008.7
52,blue-collar,married,basic.9y,no,no,no,Campaign-1,999-Days,0,nonexistent,1.4,93.444,-36.1,yes,4.966,5228.1
34,management,married,university.degree,no,yes,yes,Campaign-1,999-Days,0,nonexistent,-2.9,92.963,-40.8,no,1.26,5076.2
42,entrepreneur,married,university.degree,no,yes,no,Campaign-1,999-Days,0,nonexistent,1.1,93.994,-36.4,no,4.857,5191
51,technician,married,unknown,no,yes,no,Campaign-3,999-Days,0,nonexistent,1.4,94.465,-41.8,no,4.959,5228.1
45,management,married,basic.4y,unknown,yes,no,,999-Days,0,nonexistent,1.1,93.994,-36.4,no,4.855,5191
56,retired,married,high.school,no,no,no,Campaign-1,999-Days,0,nonexistent,-1.8,92.893,-46.2,no,1.244,5099.1
41,management,married,university.degree,no,yes,no,Campaign-1,999-Days,0,nonexistent,-1.8,92.893,-46.2,no,1.327,5099.1
44,admin.,married,high.school,no,yes,no,Campaign-1,999-Days,0,nonexistent,1.4,93.444,-36.1,no,4.964,5228.1
50,blue-collar,married,basic.6y,no,yes,no,Campaign-3,3-Days,1,success,-1.8,92.893,-46.2,yes,1.354,5099.1
54,self-employed,married,high.school,no,no,no,Campaign-3,999-Days,0,nonexistent,1.4,93.444,-36.1,no,4.963,5228.1
51,blue-collar,married,basic.6y,no,no,no,Campaign-1,999-Days,0,nonexistent,1.4,93.444,-36.1,no,4.964,5228.1
30,blue-collar,single,basic.9y,no,no,no,Campaign-1,999-Days,0,nonexistent,-0.1,93.2,-42,no,4.12,5195.8
42,,married,basic.4y,unknown,yes,no,Campaign-8,999-Days,0,nonexistent,1.4,94.465,-41.8,no,4.959,5228.1
41,technician,married,professional.course,unknown,yes,no,Campaign-11,999-Days,0,nonexistent,1.4,94.465,-41.8,no,4.865,5228.1
47,services,single,basic.9y,no,no,no,Campaign-2,999-Days,0,nonexistent,-0.1,93.2,-42,no,4.153,5195.8
35,blue-collar,married,basic.6y,no,yes,no,Campaign-1,999-Days,1,failure,-1.8,93.075,-47.1,no,1.405,5099.1
58,blue-collar,married,basic.9y,no,no,no,Campaign-1,999-Days,1,failure,-0.1,93.2,-42,no,4.153,5195.8
50,blue-collar,divorced,high.school,no,yes,yes,Campaign-2,999-Days,0,nonexistent,1.4,93.918,-42.7,yes,4.96,5228.1
41,technician,married,professional.course,no,no,no,Campaign-1,999-Days,0,nonexistent,1.1,93.994,-36.4,no,4.856,5191
38,technician,married,university.degree,no,yes,no,Campaign-1,999-Days,0,nonexistent,-1.8,92.893,-46.2,no,1.334,5099.1
32,student,single,university.degree,no,no,no,Campaign-2,999-Days,0,nonexistent,-0.1,93.2,-42,no,4.076,5195.8
21,student,single,high.school,no,no,no,Campaign-1,999-Days,1,failure,-2.9,92.201,-31.4,no,0.884,5076.2
46,admin.,divorced,basic.9y,unknown,no,no,Campaign-1,999-Days,0,nonexistent,1.1,93.994,-36.4,no,4.856,5191
42,self-employed,married,university.degree,no,yes,no,Campaign-3,999-Days,0,nonexistent,-0.1,93.2,-42,no,4.021,5195.8
55,services,married,basic.9y,no,no,no,Campaign-13,999-Days,0,nonexistent,1.4,93.444,-36.1,no,4.964,5228.1
29,admin.,single,high.school,no,yes,no,Campaign-1,6-Days,1,success,-1.1,94.767,-50.8,no,1.05,4963.6
30,blue-collar,single,basic.6y,unknown,yes,no,Campaign-1,999-Days,0,nonexistent,1.4,94.465,-41.8,no,4.959,5228.1
53,management,married,basic.4y,no,yes,no,Campaign-1,999-Days,0,nonexistent,-0.1,93.2,-42,no,4.12,5195.8
35,management,married,university.degree,no,yes,no,Campaign-2,999-Days,0,nonexistent,-0.1,93.2,-42,no,4.12,5195.8
46,services,married,professional.course,no,yes,no,Campaign-4,999-Days,0,nonexistent,1.1,93.994,-36.4,no,4.856,5191
30,blue-collar,married,unknown,no,no,no,Campaign-2,999-Days,0,nonexistent,1.1,93.994,-36.4,no,4.857,5191
43,entrepreneur,married,university.degree,unknown,yes,no,Campaign-1,999-Days,0,nonexistent,1.4,93.918,-42.7,no,4.961,5228.1
42,services,married,high.school,unknown,yes,no,Campaign-4,999-Days,0,nonexistent,1.4,93.918,-42.7,no,4.96,5228.1
32,technician,married,professional.course,no,no,no,Campaign-1,999-Days,0,nonexistent,1.4,93.918,-42.7,no,4.962,5228.1
41,blue-collar,divorced,basic.9y,no,yes,no,Campaign-1,999-Days,1,*,-1.8,92.893,-46.2,no,1.313,()
28,admin.,married,university.degree,no,no,no,Campaign-3,999-Days,1,failure,-1.8,92.893,-46.2,no,1.291,5099.1
24,services,single,university.degree,no,no,no,Campaign-6,999-Days,0,nonexistent,1.4,93.918,-42.7,no,4.963,5228.1
43,management,married,university.degree,unknown,yes,yes,Campaign-1,999-Days,0,nonexistent,-1.8,93.075,-47.1,no,1.405,5099.1
